protocol,payload_bytes,buffer_bytes,condition,throughput_mbps,loss_rate_pct,jitter_ms,avg_owd_ms,run_index
UDP,16384,65536,high_latency,21.4126,0.0,1.0614,52.223,3
UDP,64,65536,high_latency,0.084,0.0,1.0651,51.1993,1
UDP,64,65536,high_latency,0.0838,0.0,1.1811,51.2732,2
UDP,64,65536,high_latency,0.084,0.0,0.9889,51.1902,3
UDP,256,65536,high_latency,0.3362,0.0,0.9371,51.1843,1
UDP,256,65536,high_latency,0.3369,0.0,1.0213,51.2012,2
UDP,256,65536,high_latency,0.3325,0.0,1.0678,51.279,3
UDP,1024,65536,high_latency,1.3497,0.0,1.0092,51.1986,1
UDP,1024,65536,high_latency,1.3497,0.0,1.1116,51.229,2
UDP,1024,65536,high_latency,1.3497,0.0,0.9918,51.2269,3
UDP,4096,65536,high_latency,5.3845,0.0,1.032,51.2351,1
UDP,4096,65536,high_latency,5.4111,0.0,0.9992,51.2028,2
UDP,4096,65536,high_latency,5.3504,0.0,1.1027,51.2652,3
UDP,16384,65536,high_latency,21.5723,0.0,0.9888,52.2589,1
UDP,16384,65536,high_latency,21.5228,0.0,0.9233,52.2609,2
UDP,16384,65536,high_latency,21.4251,0.0,1.1724,52.2759,3
UDP,64,65536,high_latency,0.0841,0.0,1.1052,51.26,1
UDP,64,65536,high_latency,0.0844,0.0,1.1718,51.2377,2
UDP,64,65536,high_latency,0.0846,0.0,1.0056,51.2211,3
UDP,256,65536,high_latency,0.3334,0.0,1.2239,51.3016,1
UDP,256,65536,high_latency,0.337,0.0,1.1186,51.213,2
UDP,256,65536,high_latency,0.337,0.0,1.042,51.2336,3
UDP,1024,65536,high_latency,1.3386,0.0,1.2746,51.2821,1
UDP,1024,65536,high_latency,1.347,0.0,1.2093,51.2378,2
UDP,1024,65536,high_latency,1.3504,0.0,1.0903,51.2142,3
UDP,4096,65536,high_latency,5.3855,0.0,1.0365,51.1984,1
UDP,4096,65536,high_latency,5.378,0.0,1.0283,51.192,2
UDP,4096,65536,high_latency,5.3574,0.0,1.2579,51.2982,3
UDP,16384,65536,high_latency,21.3715,0.0,1.1298,52.3118,1
UDP,16384,65536,high_latency,21.4189,0.0,1.1747,52.3151,2
UDP,16384,65536,high_latency,21.4382,0.0,0.928,52.2103,3
UDP,64,65536,high_latency,0.0838,0.0,1.2112,51.2679,1
UDP,64,65536,high_latency,0.084,0.0,1.1962,51.2947,2
