protocol,payload_bytes,buffer_bytes,condition,throughput_mbps,avg_latency_ms,latency_stdev_ms,run_index
TCP,1024,65536,high_latency,3.1833,102.5586,0.5247,1
TCP,1024,65536,high_latency,3.9431,102.4955,0.4419,2
TCP,1024,65536,high_latency,3.9452,102.4756,0.4235,3
TCP,4096,65536,high_latency,6.3758,102.45,0.3933,1
TCP,4096,65536,high_latency,6.3775,102.4907,0.4644,2
TCP,4096,65536,high_latency,6.37,102.4508,0.4054,3
TCP,16384,65536,high_latency,6.337,104.5729,0.4841,1
TCP,16384,65536,high_latency,6.3344,104.5867,0.6282,2
TCP,16384,65536,high_latency,6.3266,104.6218,0.557,3
TCP,64,65536,high_latency,0.251,102.5862,0.6388,1
TCP,64,65536,high_latency,0.2515,102.5222,0.4789,2
TCP,64,65536,high_latency,0.2516,102.4731,0.4254,3
TCP,256,65536,high_latency,0.6684,102.5654,0.5479,1
TCP,256,65536,high_latency,0.6689,102.5026,0.5476,2
TCP,256,65536,high_latency,0.6662,102.4932,0.4555,3
TCP,1024,65536,high_latency,3.9497,102.5152,0.5303,1
TCP,1024,65536,high_latency,1.7714,102.4905,0.5563,2
TCP,1024,65536,high_latency,3.9502,102.5636,0.6396,3
TCP,4096,65536,high_latency,6.384,102.5065,0.472,1
TCP,4096,65536,high_latency,6.3667,102.2954,0.501,2
TCP,4096,65536,high_latency,6.3682,102.5883,0.5571,3
TCP,16384,65536,high_latency,6.3416,104.6407,0.5703,1
TCP,16384,65536,high_latency,6.3393,104.6098,0.5938,2
TCP,16384,65536,high_latency,5.4062,104.6421,0.587,3
TCP,64,65536,high_latency,0.2509,102.5573,0.5773,1
TCP,64,65536,high_latency,0.2497,102.6266,0.6896,2
TCP,64,65536,high_latency,0.2009,102.6027,0.6731,3
TCP,256,65536,high_latency,0.6643,102.9548,0.8282,1
TCP,256,65536,high_latency,0.6688,102.9046,0.7739,2
TCP,256,65536,high_latency,0.6655,102.6557,0.6732,3
TCP,1024,65536,high_latency,3.9408,102.7567,0.7836,1
TCP,1024,65536,high_latency,1.7563,102.5551,0.6446,2
TCP,1024,65536,high_latency,3.9412,102.9938,2.7987,3
TCP,4096,65536,high_latency,6.3539,102.7154,0.8053,1
TCP,4096,65536,high_latency,6.3276,102.8137,0.7487,2
TCP,4096,65536,high_latency,6.3685,102.6651,1.0669,3
TCP,16384,65536,high_latency,6.3327,104.6642,0.9119,1
TCP,16384,65536,high_latency,6.3176,104.5414,0.5482,2
TCP,16384,65536,high_latency,6.3179,104.7231,0.6458,3
TCP,64,65536,bufferbloat,0.1979,4.4495,0.4692,1
TCP,64,65536,bufferbloat,0.1973,4.3359,0.6001,2
TCP,64,65536,bufferbloat,0.1979,4.3538,0.5396,3
TCP,256,65536,bufferbloat,0.6935,6.41,0.6132,1
TCP,256,65536,bufferbloat,0.6921,6.3988,0.6856,2
TCP,256,65536,bufferbloat,0.6933,6.3868,0.601,3
TCP,1024,65536,bufferbloat,0.4217,20.5009,1.5443,1
TCP,1024,65536,bufferbloat,0.4218,20.5527,1.5621,2
TCP,1024,65536,bufferbloat,0.4218,20.5031,1.7164,3
TCP,4096,65536,bufferbloat,0.2135,68.4515,0.7708,1
TCP,4096,65536,bufferbloat,0.2167,68.5356,0.9353,2
TCP,4096,65536,bufferbloat,0.2164,68.5163,1.1914,3
TCP,16384,65536,bufferbloat,0.1805,266.4765,1.0982,1
TCP,16384,65536,bufferbloat,0.9926,1316.9122,67.8951,2
TCP,16384,65536,bufferbloat,0.9928,1604.5954,740.1518,3
TCP,64,65536,lossy,3.9017,15.5957,40.0962,1
TCP,64,65536,lossy,0.4317,11.8333,30.1865,2
TCP,64,65536,lossy,0.4126,10.2209,27.6936,3
TCP,256,65536,lossy,0.9481,15.6933,46.0495,1
TCP,256,65536,lossy,0.9548,13.9755,42.4873,2
TCP,256,65536,lossy,1.2043,17.1878,45.6117,3
TCP,1024,65536,lossy,63.9589,13.2187,50.0481,1
TCP,1024,65536,lossy,74.7238,15.1723,44.3841,2
TCP,1024,65536,lossy,78.8123,14.1037,38.7751,3
TCP,4096,65536,lossy,91.1965,15.8633,45.0224,1
TCP,4096,65536,lossy,86.8521,14.1103,38.7351,2
TCP,4096,65536,lossy,37.1141,13.0884,43.6316,3
TCP,16384,65536,lossy,32.294,11.2599,41.2703,1
TCP,16384,65536,lossy,31.5232,6.8835,17.1067,2
TCP,16384,65536,lossy,46.7955,36.4786,64.2866,3
